05F0287N ,(頭城-坪??控專用道) 
05F0287S ,(坪??控專用道-頭城) 
05F0309N ,(宜?(?)-頭城) 
05F0309S ,(頭城-宜?(?)) 
05F0438N ,(?東(?)-宜?(南)) 
05F0439S ,(宜?(南)-?東(?)) 
05F0494S ,(?東(南)-蘇澳) 
05F0528N ,(蘇澳-?東(南)) 
05FR113S ,(宜?(?)-宜?(南)) 
05FR143N ,(宜?(南)-宜?(?)) 
